title,other_title,director,actors,year,area,genre,rating,rating_people,quote,detail_url
猫鼠游戏,/ 逍遥法外  /  捉智双雄(港),史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记 犯罪 剧情,9.1,0,,https://movie.douban.com/subject/1305487/
天空之城,/ 天空之城拉普他  /  空中城堡拉普他,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险,9.2,0,,https://movie.douban.com/subject/1291583/
鬼子来了,/ Devils on the Doorstep,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 喜剧,9.3,0,,https://movie.douban.com/subject/1291858/
摔跤吧！爸爸,/ 我和我的冠军女儿(台)  /  打死不离3父女(港),涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 传记 运动 家庭,9.0,0,,https://movie.douban.com/subject/26387939/
少年派的奇幻漂流,/ 少年Pi的奇幻漂流  /  漂流少年Pi,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,0,,https://movie.douban.com/subject/1929463/
钢琴家,/ 钢琴战曲(港)  /  战地琴人(台),罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,9.3,0,,https://movie.douban.com/subject/1296736/
指环王2：双塔奇兵,/ 魔戒二部曲：双城奇谋  /  指环王II：双塔,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,0,,https://movie.douban.com/subject/1291572/
死亡诗社,/ 暴雨骄阳(港)  /  春风化雨(台),彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情,9.2,0,,https://movie.douban.com/subject/1291548/
大话西游之月光宝盒,/ 西游记101回月光宝盒  /  齐天大圣东游记,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,0,,https://movie.douban.com/subject/1299398/
绿皮书,/ 绿簿旅友(港)  /  幸福绿皮书(台),彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,0,,https://movie.douban.com/subject/27060077/
